vert1_x, vert1_y, vert1_z, vert2_x, vert2_y, vert2_z, vert3_x, vert3_y, vert3_z
 548.41,  361.48,    0.00,  587.73,  352.88,    0.00,  585.27,  404.49,    0.00
 548.41,  361.48,    0.00,  509.08,  362.71,    0.00,  511.54,  311.10,    0.00
 479.59,  390.98,    0.00,  475.90,  446.28,    0.00,  440.26,  392.21,    0.00
 479.59,  390.98,    0.00,  505.40,  418.01,    0.00,  475.90,  446.28,    0.00
 479.59,  390.98,    0.00,  482.05,  339.36,    0.00,  509.08,  362.71,    0.00
 479.59,  390.98,    0.00,  442.72,  340.59,    0.00,  482.05,  339.36,    0.00
 479.59,  390.98,    0.00,  509.08,  362.71,    0.00,  505.40,  418.01,    0.00
 479.59,  390.98,    0.00,  440.26,  392.21,    0.00,  442.72,  340.59,    0.00
 400.94,  370.09,    0.00,  440.26,  392.21,    0.00,  397.25,  425.39,    0.00
 400.94,  370.09,    0.00,  397.25,  425.39,    0.00,  361.61,  371.31,    0.00
 400.94,  370.09,    0.00,  403.40,  318.47,    0.00,  442.72,  340.59,    0.00
 400.94,  370.09,    0.00,  364.07,  319.70,    0.00,  403.40,  318.47,    0.00
 400.94,  370.09,    0.00,  442.72,  340.59,    0.00,  440.26,  392.21,    0.00
 400.94,  370.09,    0.00,  361.61,  371.31,    0.00,  364.07,  319.70,    0.00
 337.03,  399.58,    0.00,  333.35,  454.88,    0.00,  297.71,  400.81,    0.00
 337.03,  399.58,    0.00,  357.93,  426.62,    0.00,  333.35,  454.88,    0.00
 337.03,  399.58,    0.00,  339.49,  347.96,    0.00,  361.61,  371.31,    0.00
 337.03,  399.58,    0.00,  300.17,  349.19,    0.00,  339.49,  347.96,    0.00
 337.03,  399.58,    0.00,  361.61,  371.31,    0.00,  357.93,  426.62,    0.00
 337.03,  399.58,    0.00,  297.71,  400.81,    0.00,  300.17,  349.19,    0.00
 243.64,  379.92,    0.00,  297.71,  400.81,    0.00,  239.95,  435.22,    0.00
 243.64,  379.92,    0.00,  239.95,  435.22,    0.00,  204.31,  381.15,    0.00
 243.64,  379.92,    0.00,  246.09,  328.30,    0.00,  300.17,  349.19,    0.00
 243.64,  379.92,    0.00,  206.77,  329.53,    0.00,  246.09,  328.30,    0.00
 243.64,  379.92,    0.00,  300.17,  349.19,    0.00,  297.71,  400.81,    0.00
 243.64,  379.92,    0.00,  204.31,  381.15,    0.00,  206.77,  329.53,    0.00
 155.15,  398.35,    0.00,  151.47,  453.65,    0.00,  115.83,  399.58,    0.00
 155.15,  398.35,    0.00,  200.62,  436.45,    0.00,  151.47,  453.65,    0.00
 155.15,  398.35,    0.00,  157.61,  346.74,    0.00,  204.31,  381.15,    0.00
 155.15,  398.35,    0.00,  118.29,  347.96,    0.00,  157.61,  346.74,    0.00
 155.15,  398.35,    0.00,  204.31,  381.15,    0.00,  200.62,  436.45,    0.00
 155.15,  398.35,    0.00,  115.83,  399.58,    0.00,  118.29,  347.96,    0.00
  76.50,  399.58,    0.00,   72.82,  454.88,    0.00,   37.18,  400.81,    0.00
  76.50,  399.58,    0.00,  112.14,  454.88,    0.00,   72.82,  454.88,    0.00
  76.50,  399.58,    0.00,   78.96,  347.96,    0.00,  115.83,  399.58,    0.00
  76.50,  399.58,    0.00,   39.64,  349.19,    0.00,   78.96,  347.96,    0.00
  76.50,  399.58,    0.00,  115.83,  399.58,    0.00,  112.14,  454.88,    0.00
  76.50,  399.58,    0.00,   37.18,  400.81,    0.00,   39.64,  349.19,    0.00
 779.44,  518.78,    0.00,  740.12,  520.01,    0.00,  774.53,  456.11,    0.00
 779.44,  518.78,    0.00,  769.61,  574.09,    0.00,  740.12,  520.01,    0.00
 692.19,  492.98,    0.00,  652.87,  494.21,    0.00,  687.27,  430.30,    0.00
 692.19,  492.98,    0.00,  687.27,  430.30,    0.00,  735.20,  457.34,    0.00
 692.19,  492.98,    0.00,  740.12,  520.01,    0.00,  682.36,  548.28,    0.00
 692.19,  492.98,    0.00,  682.36,  548.28,    0.00,  652.87,  494.21,    0.00
 692.19,  492.98,    0.00,  735.20,  457.34,    0.00,  740.12,  520.01,    0.00
 625.83,  521.24,    0.00,  620.91,  458.57,    0.00,  652.87,  494.21,    0.00
 625.83,  521.24,    0.00,  586.50,  522.47,    0.00,  620.91,  458.57,    0.00
 625.83,  521.24,    0.00,  616.00,  576.54,    0.00,  586.50,  522.47,    0.00
 625.83,  521.24,    0.00,  643.03,  549.51,    0.00,  616.00,  576.54,    0.00
 625.83,  521.24,    0.00,  652.87,  494.21,    0.00,  643.03,  549.51,    0.00
 549.64,  479.46,    0.00,  510.31,  480.69,    0.00,  544.72,  416.78,    0.00
 549.64,  479.46,    0.00,  544.72,  416.78,    0.00,  581.59,  459.80,    0.00
 549.64,  479.46,    0.00,  586.50,  522.47,    0.00,  539.81,  534.76,    0.00
 549.64,  479.46,    0.00,  539.81,  534.76,    0.00,  510.31,  480.69,    0.00
 549.64,  479.46,    0.00,  581.59,  459.80,    0.00,  586.50,  522.47,    0.00
 480.82,  508.95,    0.00,  475.90,  446.28,    0.00,  510.31,  480.69,    0.00
 480.82,  508.95,    0.00,  441.49,  510.18,    0.00,  475.90,  446.28,    0.00
 480.82,  508.95,    0.00,  470.99,  564.25,    0.00,  441.49,  510.18,    0.00
 480.82,  508.95,    0.00,  500.48,  535.99,    0.00,  470.99,  564.25,    0.00
 480.82,  508.95,    0.00,  510.31,  480.69,    0.00,  500.48,  535.99,    0.00
 402.17,  488.06,    0.00,  362.84,  489.29,    0.00,  397.25,  425.39,    0.00
 402.17,  488.06,    0.00,  397.25,  425.39,    0.00,  436.58,  447.51,    0.00
 402.17,  488.06,    0.00,  441.49,  510.18,    0.00,  392.34,  543.36,    0.00
 402.17,  488.06,    0.00,  392.34,  543.36,    0.00,  362.84,  489.29,    0.00
 402.17,  488.06,    0.00,  436.58,  447.51,    0.00,  441.49,  510.18,    0.00
 338.26,  517.55,    0.00,  333.35,  454.88,    0.00,  362.84,  489.29,    0.00
 338.26,  517.55,    0.00,  298.94,  518.78,    0.00,  333.35,  454.88,    0.00
 338.26,  517.55,    0.00,  328.43,  572.86,    0.00,  298.94,  518.78,    0.00
 338.26,  517.55,    0.00,  353.01,  544.59,    0.00,  328.43,  572.86,    0.00
 338.26,  517.55,    0.00,  362.84,  489.29,    0.00,  353.01,  544.59,    0.00
 244.87,  497.89,    0.00,  205.54,  499.12,    0.00,  239.95,  435.22,    0.00
 244.87,  497.89,    0.00,  239.95,  435.22,    0.00,  294.02,  456.11,    0.00
 244.87,  497.89,    0.00,  298.94,  518.78,    0.00,  235.03,  553.19,    0.00
 244.87,  497.89,    0.00,  235.03,  553.19,    0.00,  205.54,  499.12,    0.00
 244.87,  497.89,    0.00,  294.02,  456.11,    0.00,  298.94,  518.78,    0.00
 156.38,  516.33,    0.00,  151.47,  453.65,    0.00,  205.54,  499.12,    0.00
 156.38,  516.33,    0.00,  117.06,  517.55,    0.00,  151.47,  453.65,    0.00
 156.38,  516.33,    0.00,  146.55,  571.63,    0.00,  117.06,  517.55,    0.00
 156.38,  516.33,    0.00,  195.71,  554.42,    0.00,  146.55,  571.63,    0.00
 156.38,  516.33,    0.00,  205.54,  499.12,    0.00,  195.71,  554.42,    0.00
  77.73,  517.55,    0.00,   38.41,  518.78,    0.00,   72.82,  454.88,    0.00
  77.73,  517.55,    0.00,   72.82,  454.88,    0.00,  112.14,  454.88,    0.00
  77.73,  517.55,    0.00,   67.90,  572.86,    0.00,   38.41,  518.78,    0.00
  77.73,  517.55,    0.00,  107.23,  572.86,    0.00,   67.90,  572.86,    0.00
  77.73,  517.55,    0.00,  112.14,  454.88,    0.00,  117.06,  517.55,    0.00
  77.73,  517.55,    0.00,  117.06,  517.55,    0.00,  107.23,  572.86,    0.00
 774.53,  456.11,    0.00,  735.20,  457.34,    0.00,  738.89,  402.04,    0.00
 774.53,  456.11,    0.00,  740.12,  520.01,    0.00,  735.20,  457.34,    0.00
 687.27,  430.30,    0.00,  738.89,  402.04,    0.00,  735.20,  457.34,    0.00
 687.27,  430.30,    0.00,  647.95,  431.53,    0.00,  651.64,  376.23,    0.00
 687.27,  430.30,    0.00,  652.87,  494.21,    0.00,  647.95,  431.53,    0.00
 620.91,  458.57,    0.00,  581.59,  459.80,    0.00,  585.27,  404.49,    0.00
 620.91,  458.57,    0.00,  647.95,  431.53,    0.00,  652.87,  494.21,    0.00
